### base01
## base01_lv001: O.M.V.帝江号 | OMV Dijiang | O.M.V.帝江号 | O.M.V.제강호
- 基建区 | Working Sector | 基礎建設区画 | 기초 건설 구역 | es=?
- 核心区 | Kernel Sector | 中枢区画 | 핵심 구역 | es=?
- 中央环厅 | Central Ring | 中央ホール | 중앙 홀 | es=?
- 舰桥 | Bridge | ブリッジ | 갑판 | es=?
- 生活区 | Living Sector | 生活区画 | 생활 구역 | es=?
- 会客室 | Reception Room | 応接室 | 응접실 | es=?
### map01
## map01_lv001: 枢纽区 | The Hub | 中枢エリア | 거점 지역
- 山地顶端 | Mountain Top | 山頂 | 산지 정상 | es=Cima de la montaña
- 枢纽基地电站 | Hub Base Power Plant | 中枢基地発電所 | 거점 기지 발전소 | es=Planta de energía de la Base central
- 源石副产物中心 | Originium Byproduct Processing Center | 源石副産物センター | 오리지늄 부산물 센터 | es=Centro de procesamiento de subproductos de originio
- 桥头工事 | Bridge Approach | 橋頭建設場 | 다리 입구 공사장 | es=Aproximación al puente
- 旧供水设施 | Old Water Plant | 旧水処理場 | 오래된 급수 설비 | es=Antigua planta de agua
- 岸窟营地 | Shorecove Camp | 岸窟野営地 | 강변 동굴 캠프 | es=Campamento Shorecove
- 岩丘通道 | Rockhill Passage | 岩丘の道 | 바위 언덕 통로 | es=Paso de Rockhill
- 货运平台 | Logistics Platform | 物流基地 | 화물 플랫폼 | es=Plataforma logística
- 集成核心区域 | Core AIC Area | 集成工業エリア | 통합 핵심 구역 | es=Área central del CAI
- 山地侧路 | Mountain Side Trail | 山岳の道 | 산지 옆길 | es=Sendero por la ladera de la montaña
- 南部草甸 | Southern Meadows | 南芝原 | 남쪽 초원 | es=Prados del sur
- 东部通道 | Eastern Passageway | 東通路 | 동쪽 통로 | es=Pasillo del Este
- 边缘林地 | Woodland Fringes | 外れの森 | 변두리 숲지대 | es=Linderos del bosque
- 枢纽基地区 | Hub Base | 中枢基地 | 거점 기지 구역 | es=La Base Central
- 集成工业研究所 | AIC Research Center | 集成工業研究所 | 통합 공업 연구소 | es=Centro de investigación del CAI
- 旧工厂区 | Old Factory | 旧工場 | 옛 공장 구역 | es=Fábrica antigua
- 工人之家 | Worker Dorms | 従業員寮 | 직원 숙소 구역 | es=Dormitorios de trabajadores
- 待建设区 | Construction Site | 建設予定地 | 건설대기 구역 | es=Zona de construcción
- 枢纽区西部 | Hub West | 中枢西部 | 거점 지역 서부 | es=Base Oeste
## map01_lv002: 谷地通道 | Valley Pass | 谷地通路 | 협곡길
- 废弃小径 | Abandoned Trail | 廃道 | 버려진 오솔길 | es=Sendero abandonado
- 临时避难所 | Temporary Shelter | 臨時避難所 | 임시 대피소 | es=Refugio temporal
